01:58:45.901 [ApplicationImpl pooled thread 428] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:00:56.699 [ApplicationImpl pooled thread 428] INFO  c.b.l.BrowserStackRunExtension - testng
02:00:56.699 [ApplicationImpl pooled thread 428] INFO  com.browserstack.utils.Helpers - null
02:00:56.701 [ApplicationImpl pooled thread 428] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:09:49.353 [ApplicationImpl pooled thread 447] INFO  c.b.l.BrowserStackRunExtension - testng
02:09:49.353 [ApplicationImpl pooled thread 447] INFO  com.browserstack.utils.Helpers - null
02:09:49.353 [ApplicationImpl pooled thread 447] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:11:43.519 [ApplicationImpl pooled thread 446] INFO  c.b.l.BrowserStackRunExtension - testng
02:11:43.520 [ApplicationImpl pooled thread 446] INFO  com.browserstack.utils.Helpers - null
02:11:43.521 [ApplicationImpl pooled thread 446] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:15:09.257 [ApplicationImpl pooled thread 455] INFO  c.b.l.BrowserStackRunExtension - testng
02:15:09.258 [ApplicationImpl pooled thread 455] INFO  com.browserstack.utils.Helpers - null
02:15:09.260 [ApplicationImpl pooled thread 455] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:15:35.909 [ApplicationImpl pooled thread 449] INFO  c.b.l.BrowserStackRunExtension - testng
02:15:35.909 [ApplicationImpl pooled thread 449] INFO  com.browserstack.utils.Helpers - null
02:15:35.910 [ApplicationImpl pooled thread 449] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:16:50.405 [ApplicationImpl pooled thread 443] INFO  c.b.l.BrowserStackRunExtension - testng
02:16:50.405 [ApplicationImpl pooled thread 443] INFO  com.browserstack.utils.Helpers - null
02:16:50.407 [ApplicationImpl pooled thread 443] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:20:24.222 [ApplicationImpl pooled thread 455] INFO  c.b.l.BrowserStackRunExtension - testng
02:20:24.222 [ApplicationImpl pooled thread 455] INFO  com.browserstack.utils.Helpers - null
02:20:24.223 [ApplicationImpl pooled thread 455] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:25:39.207 [ApplicationImpl pooled thread 455] INFO  c.b.l.BrowserStackRunExtension - testng
02:25:39.207 [ApplicationImpl pooled thread 455] INFO  com.browserstack.utils.Helpers - null
02:25:39.208 [ApplicationImpl pooled thread 455] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:29:02.829 [ApplicationImpl pooled thread 456] INFO  c.b.l.BrowserStackRunExtension - testng
02:29:02.829 [ApplicationImpl pooled thread 456] INFO  com.browserstack.utils.Helpers - null
